Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text
no-rest-just-reps-set-light-blue-yellow,No Rest Just Reps Set - Light Blue & Yellow,<strong>No Rest. Just Reps.</strong> Cropped Tank and Shorts Set in Light Blue & Yellow.,Elite Star Athletics,Athletic Wear,"Set, Women's, No Rest Just Reps, ESA",TRUE,Size,4XL,ESA-NRJRS-LIGHT-BLUE-YELLOW-4XL,200,shopify,10,deny,manual,39.99,,TRUE,TRUE,,https://elitestarathletics.github.io/images/no-rest-just-reps-lightblue-yellow.png,1,No Rest Just Reps Set - Light Blue & Yellow
no-rest-just-reps-set-purple-light-blue,No Rest Just Reps Set - Purple & Light Blue,<strong>No Rest. Just Reps.</strong> Cropped Tank and Shorts Set in Purple & Light Blue.,Elite Star Athletics,Athletic Wear,"Set, Women's, No Rest Just Reps, ESA",TRUE,Size,Youth XS,ESA-NRJRS-PURPLE-LIGHT-BLUE-YouthXS,200,shopify,10,deny,manual,39.99,,TRUE,TRUE,,https://elitestarathletics.github.io/images/no-rest-just-reps-purple-lightblue.png,1,No Rest Just Reps Set - Purple & Light Blue
no-rest-just-reps-set-purple-light-blue,No Rest Just Reps Set - Purple & Light Blue,<strong>No Rest. Just Reps.</strong> Cropped Tank and Shorts Set in Purple & Light Blue.,Elite Star Athletics,Athletic Wear,"Set, Women's, No Rest Just Reps, ESA",TRUE,Size,Youth S,ESA-NRJRS-PURPLE-LIGHT-BLUE-YouthS,200,shopify,10,deny,manual,39.99,,TRUE,TRUE,,https://elitestarathletics.github.io/images/no-rest-just-reps-purple-lightblue.png,1,No Rest Just Reps Set - Purple & Light Blue
no-rest-just-reps-set-purple-light-blue,No Rest Just Reps Set - Purple & Light Blue,<strong>No Rest. Just Reps.</strong> Cropped Tank and Shorts Set in Purple & Light Blue.,Elite Star Athletics,Athletic Wear,"Set, Women's, No Rest Just Reps, ESA",TRUE,Size,Youth M,ESA-NRJRS-PURPLE-LIGHT-BLUE-YouthM,200,shopify,10,deny,manual,39.99,,TRUE,TRUE,,https://elitestarathletics.github.io/images/no-rest-just-reps-purple-lightblue.png,1,No Rest Just Reps Set - Purple & Light Blue
no-rest-just-reps-set-purple-light-blue,No Rest Just Reps Set - Purple & Light Blue,<strong>No Rest. Just Reps.</strong> Cropped Tank and Shorts Set in Purple & Light Blue.,Elite Star Athletics,Athletic Wear,"Set, Women's, No Rest Just Reps, ESA",TRUE,Size,Youth L,ESA-NRJRS-PURPLE-LIGHT-BLUE-YouthL,200,shopify,10,deny,manual,39.99,,TRUE,TRUE,,https://elitestarathletics.github.io/images/no-rest-just-reps-purple-lightblue.png,1,No Rest Just Reps Set - Purple & Light Blue
no-rest-just-reps-set-purple-light-blue,No Rest Just Reps Set - Purple & Light Blue,<strong>No Rest. Just Reps.</strong> Cropped Tank and Shorts Set in Purple & Light Blue.,Elite Star Athletics,Athletic Wear,"Set, Women's, No Rest Just Reps, ESA",TRUE,Size,Youth XL,ESA-NRJRS-PURPLE-LIGHT-BLUE-YouthXL,200,shopify,10,deny,manual,39.99,,TRUE,TRUE,,https://elitestarathletics.github.io/images/no-rest-just-reps-purple-lightblue.png,1,No Rest Just Reps Set - Purple & Light Blue
no-rest-just-reps-set-purple-light-blue,No Rest Just Reps Set - Purple & Light Blue,<strong>No Rest. Just Reps.</strong> Cropped Tank and Shorts Set in Purple & Light Blue.,Elite Star Athletics,Athletic Wear,"Set, Women's, No Rest Just Reps, ESA",TRUE,Size,S,ESA-NRJRS-PURPLE-LIGHT-BLUE-S,200,shopify,10,deny,manual,39.99,,TRUE,TRUE,,https://elitestarathletics.github.io/images/no-rest-just-reps-purple-lightblue.png,1,No Rest Just Reps Set - Purple & Light Blue
no-rest-just-reps-set-purple-light-blue,No Rest Just Reps Set - Purple & Light Blue,<strong>No Rest. Just Reps.</strong> Cropped Tank and Shorts Set in Purple & Light Blue.,Elite Star Athletics,Athletic Wear,"Set, Women's, No Rest Just Reps, ESA",TRUE,Size,M,ESA-NRJRS-PURPLE-LIGHT-BLUE-M,200,shopify,10,deny,manual,39.99,,TRUE,TRUE,,https://elitestarathletics.github.io/images/no-rest-just-reps-purple-lightblue.png,1,No Rest Just Reps Set - Purple & Light Blue
no-rest-just-reps-set-purple-light-blue,No Rest Just Reps Set - Purple & Light Blue,<strong>No Rest. Just Reps.</strong> Cropped Tank and Shorts Set in Purple & Light Blue.,Elite Star Athletics,Athletic Wear,"Set, Women's, No Rest Just Reps, ESA",TRUE,Size,L,ESA-NRJRS-PURPLE-LIGHT-BLUE-L,200,shopify,10,deny,manual,39.99,,TRUE,TRUE,,https://elitestarathletics.github.io/images/no-rest-just-reps-purple-lightblue.png,1,No Rest Just Reps Set - Purple & Light Blue
no-rest-just-reps-set-purple-light-blue,No Rest Just Reps Set - Purple & Light Blue,<strong>No Rest. Just Reps.</strong> Cropped Tank and Shorts Set in Purple & Light Blue.,Elite Star Athletics,Athletic Wear,"Set, Women's, No Rest Just Reps, ESA",TRUE,Size,XL,ESA-NRJRS-PURPLE-LIGHT-BLUE-XL,200,shopify,10,deny,manual,39.99,,TRUE,TRUE,,https://elitestarathletics.github.io/images/no-rest-just-reps-purple-lightblue.png,1,No Rest Just Reps Set - Purple & Light Blue
